date,id,title,url
108/07/23,273,雲林土雞場確診禽流感案例，籲請業者配合防疫監控措施（動植物防疫檢疫局）,https://m.coa.gov.tw/Aigovinfo/Detail/273
108/07/21,274,專案農貸電話諮詢個案處理情形，統計截止日:108年7月19日（農業金融局）,https://m.coa.gov.tw/Aigovinfo/Detail/274
108/03/28,267,雲林土雞與鴨場確診禽流感案例，呼籲業者共同維護產業發展（動植物防疫檢疫局）,https://m.coa.gov.tw/Aigovinfo/Detail/267
108/02/20,246,此波缺蛋與馬立克疫苗無關，農委會全力穩定雞蛋之供應（行政院農業委員會）,https://m.coa.gov.tw/Aigovinfo/Detail/246
107/12/20,227,嘉義丟棄死雞確診禽流感 違法棄置者將受裁罰（動植物防疫檢疫局）,https://m.coa.gov.tw/Aigovinfo/Detail/227
107/09/25,207,預告修正「動物傳染病防治條例補償評價委員之組成人員及評價標準」第四條附件三,https://m.coa.gov.tw/Aigovinfo/Detail/207
107/06/05,187,107年5月31日農業保險投保情形（農業金融局）,https://m.coa.gov.tw/Aigovinfo/Detail/187
107/04/01,166,推動農業保險立法，保障農民收入安全（行政院農業委員會）,https://m.coa.gov.tw/Aigovinfo/Detail/166
107/02/12,147,臺中屠宰場攔截禽流感病禽，依標準作業程序執行防疫處置（動植物防疫檢疫局）,https://m.coa.gov.tw/Aigovinfo/Detail/147
107/01/17,127,屏東禽場確診禽流感案例，依程序執行防疫處置（動植物防疫檢疫局）,https://m.coa.gov.tw/Aigovinfo/Detail/127
106/12/05,107,政院：公私協力、多元參與 提升我國災害防救能量（行政院）,https://m.coa.gov.tw/Aigovinfo/Detail/107
106/05/04,86,1060505林揆：禽流感防疫回歸常態運作 仍請農委會持續保持警戒(出席106年禽流感中央災害應變中心第5次會議)（行政院）,https://m.coa.gov.tw/Aigovinfo/Detail/86
106/04/18,21,因應國內首度自死亡禽鳥檢體檢出H5N6病毒，疾管署將持續監測疫情發展及接觸者健康情形（衛生福利部疾病管制署）,https://m.coa.gov.tw/Aigovinfo/Detail/21
106/04/18,26,防疫視同作戰，疾管署嚴正回應某媒體社論（衛生福利部疾病管制署）,https://m.coa.gov.tw/Aigovinfo/Detail/26
106/04/18,27,H5N6禽傳人風險雖低，國內家禽相關工作人員仍須做好自我防護（衛生福利部疾病管制署）,https://m.coa.gov.tw/Aigovinfo/Detail/27
